,Company Name,Job Title,Salary
2942,"GALE Partners
3.3",Full Stack Developer,"₹ 8,18,864"
2943,"GALE Partners
3.3",Associate,"₹761K - ₹1,104K"
2944,"GALE Partners
3.3",Store Manager,₹45K - ₹49K
2945,"GALE Partners
3.3",Full Stack Web Developer,₹77K - ₹83K
2946,"GALE Partners
3.3",Frontend Developer,₹696K - ₹754K
2947,Voiceover,-1,-1
2948,"Bosch Group
4.1",Senior Software Engineer,"₹ 7,93,241"
2949,"Bosch Group
4.1",Associate Software Engineer,"₹ 5,07,795"
2950,"Bosch Group
4.1",Software Engineer,"₹ 5,80,363"
2951,"Bosch Group
4.1",Senior Engineer,"₹ 8,27,830"
2952,"Bosch Group
4.1",Associate Software Engineer,"₹ 32,905/mo"
2953,Futurios Technologies,-1,-1
2954,hudsondata.com,-1,-1
2955,DaivikTechnologies,-1,-1
2956,"ICMR- National Institute for Research in Tuberculosis
3.4",Consultant,₹54K - ₹59K
2957,"ICMR- National Institute for Research in Tuberculosis
3.4",Research Assistant,₹25K - ₹26K
2958,"ICMR- National Institute for Research in Tuberculosis
3.4",Senior Research Fellow,₹26K - ₹28K
2959,"Amazon
4.2",Data Engineer II,"₹ 22,19,018"
2960,"Amazon
4.2",Software Development Engineer,"₹ 14,77,690"
2961,"Amazon
4.2",Software Development Engineer I,"₹ 15,51,897"
